-8.382,-3.191,-9.084,0.483,-0.804,-0.299
-6.120,-1.697,-5.653,1.761,-0.431,-0.535
-5.411,-1.429,-4.254,2.080,-0.365,-0.560
-4.204,-0.929,-2.629,2.447,-0.334,-0.569
-3.323,-0.431,-1.453,2.686,-0.301,-0.557
-2.559,0.055,-0.175,2.886,-0.280,-0.527
-1.544,0.565,1.496,3.086,-0.286,-0.463
-0.929,0.917,2.832,3.186,-0.321,-0.399
-0.426,1.274,4.197,3.240,-0.398,-0.322
0.108,1.743,5.758,3.247,-0.572,-0.208
0.376,2.093,6.682,3.210,-0.721,-0.118
0.508,2.368,7.470,3.146,-0.871,-0.029
0.634,2.591,8.174,3.034,-1.052,0.076
0.606,2.689,8.550,2.941,-1.146,0.139
0.424,2.727,8.933,2.843,-1.210,0.185
0.144,2.693,9.292,2.747,-1.248,0.210
-0.376,2.480,9.773,2.629,-1.278,0.210
-0.802,2.274,10.092,2.553,-1.299,0.183
-1.180,2.090,10.381,2.486,-1.318,0.133
-1.592,1.877,10.752,2.403,-1.340,0.034
-1.781,1.774,11.044,2.345,-1.349,-0.058
-1.875,1.693,11.349,2.288,-1.354,-0.160
-1.844,1.516,11.818,2.215,-1.367,-0.300
-1.707,1.283,12.191,2.166,-1.393,-0.403
-1.444,0.994,12.562,2.128,-1.432,-0.502
-0.998,0.577,13.099,2.094,-1.500,-0.618
-0.570,0.208,13.522,2.081,-1.553,-0.688
-0.072,-0.057,13.913,2.075,-1.598,-0.744
0.685,-0.271,14.439,2.072,-1.626,-0.794
1.322,-0.364,14.791,2.070,-1.612,-0.812
1.944,-0.431,15.153,2.068,-1.565,-0.810
2.708,-0.570,15.668,2.058,-1.459,-0.775
3.203,-0.697,16.106,2.045,-1.355,-0.726
3.632,-0.840,16.510,2.027,-1.241,-0.658
4.053,-0.986,17.028,1.996,-1.081,-0.542
4.281,-1.056,17.406,1.966,-0.954,-0.439
4.362,-1.092,17.796,1.930,-0.832,-0.323
4.362,-1.202,18.268,1.869,-0.669,-0.162
3.824,-1.326,19.455,1.558,-0.092,0.325
3.596,-1.190,19.664,1.461,0.052,0.429
3.134,-0.953,19.972,1.322,0.235,0.560
2.737,-0.795,20.147,1.209,0.357,0.650
2.286,-0.644,20.243,1.089,0.469,0.729
1.654,-0.397,20.334,0.918,0.602,0.815
1.159,-0.175,20.387,0.780,0.684,0.862
0.706,0.091,20.399,0.634,0.747,0.893
0.271,0.369,20.341,0.480,0.794,0.911
-0.271,0.754,20.126,0.262,0.835,0.917
-0.651,1.032,19.850,0.088,0.856,0.909
-1.008,1.288,19.518,-0.093,0.868,0.892
-1.501,1.587,18.914,-0.341,0.857,0.857
-1.867,1.779,18.356,-0.525,0.826,0.825
-2.200,1.932,17.638,-0.697,0.780,0.788
-2.622,2.102,16.539,-0.901,0.695,0.730
-2.916,2.251,15.601,-1.028,0.622,0.680
-3.232,2.358,14.583,-1.130,0.550,0.625
-3.560,2.433,13.573,-1.205,0.482,0.563
-4.020,2.488,12.321,-1.265,0.394,0.466
-4.357,2.464,11.449,-1.280,0.325,0.382
-4.647,2.375,10.659,-1.267,0.252,0.289
-4.913,2.229,9.692,-1.214,0.163,0.151
-5.011,2.143,9.052,-1.151,0.112,0.037
-5.023,2.090,8.578,-1.070,0.076,-0.080
-4.870,2.061,8.169,-0.946,0.044,-0.239
-4.630,2.097,8.004,-0.845,0.030,-0.351
-4.262,2.145,7.942,-0.743,0.024,-0.456
-3.656,2.258,7.982,-0.608,0.037,-0.577
-3.139,2.380,8.090,-0.513,0.071,-0.650
-2.600,2.528,8.265,-0.428,0.129,-0.709
-1.946,2.758,8.624,-0.334,0.237,-0.759
-1.525,2.904,8.981,-0.283,0.335,-0.777
-1.214,3.019,9.380,-0.254,0.438,-0.779
-0.931,3.038,9.919,-0.254,0.568,-0.762
-0.821,2.981,10.254,-0.284,0.648,-0.736
-0.766,2.851,10.539,-0.339,0.711,-0.701
-0.802,2.660,10.774,-0.444,0.752,-0.644
-0.857,2.514,10.793,-0.545,0.750,-0.594
-0.924,2.387,10.681,-0.660,0.728,-0.538
-1.027,2.260,10.333,-0.826,0.676,-0.453
-1.142,2.188,9.936,-0.954,0.626,-0.384
-1.300,2.109,9.424,-1.082,0.574,-0.311
-1.618,1.923,8.586,-1.245,0.510,-0.213
-1.939,1.717,7.951,-1.357,0.470,-0.144
-2.327,1.508,7.379,-1.457,0.433,-0.079
-2.887,1.302,6.682,-1.570,0.376,-0.003
-3.340,1.269,6.167,-1.643,0.329,0.046
-3.814,1.312,5.679,-1.711,0.283,0.086
-4.480,1.350,5.057,-1.797,0.226,0.121
-5.037,1.302,4.614,-1.860,0.182,0.132
-5.626,1.116,4.199,-1.922,0.134,0.132
-6.206,0.857,3.804,-1.986,0.081,0.118
-6.934,0.527,3.316,-2.070,-0.004,0.083
-7.400,0.340,2.959,-2.128,-0.079,0.044
-7.791,0.223,2.593,-2.181,-0.162,-0.004
-8.226,0.103,2.081,-2.241,-0.274,-0.077
-8.490,0.014,1.676,-2.278,-0.350,-0.138
-8.756,-0.105,1.276,-2.308,-0.417,-0.202
-9.084,-0.292,0.828,-2.334,-0.501,-0.287
-9.615,-0.776,-0.584,-2.282,-0.769,-0.553
-9.570,-0.867,-0.994,-2.225,-0.820,-0.618
-9.483,-0.905,-1.283,-2.172,-0.844,-0.657
-9.318,-0.881,-1.621,-2.092,-0.857,-0.689
-9.170,-0.826,-1.824,-2.024,-0.856,-0.696
-9.062,-0.761,-2.014,-1.951,-0.849,-0.687
-9.021,-0.721,-2.243,-1.846,-0.836,-0.655
-9.100,-0.783,-2.409,-1.762,-0.827,-0.623
-9.275,-0.941,-2.559,-1.671,-0.813,-0.588
-9.651,-1.259,-2.691,-1.545,-0.788,-0.547
-9.969,-1.465,-2.720,-1.449,-0.766,-0.522
-10.417,-1.690,-2.636,-1.319,-0.739,-0.499
-10.697,-1.798,-2.512,-1.225,-0.727,-0.490
-10.944,-1.860,-2.349,-1.136,-0.721,-0.487
-11.207,-1.908,-2.097,-1.023,-0.717,-0.490
-11.365,-1.925,-1.908,-0.948,-0.714,-0.493
-11.595,-1.944,-1.604,-0.857,-0.714,-0.499
-11.772,-1.982,-1.362,-0.797,-0.719,-0.504
-11.985,-2.040,-1.135,-0.740,-0.730,-0.511
-12.323,-2.198,-0.917,-0.669,-0.748,-0.526
-12.615,-2.351,-0.754,-0.618,-0.761,-0.542
-12.919,-2.538,-0.622,-0.567,-0.775,-0.564
-13.989,-3.208,0.029,-0.349,-0.832,-0.716
-14.140,-3.297,0.151,-0.303,-0.839,-0.754
-14.325,-3.457,0.366,-0.241,-0.844,-0.804
-14.478,-3.603,0.565,-0.193,-0.843,-0.842
-14.638,-3.757,0.792,-0.145,-0.839,-0.882
-14.842,-3.974,1.142,-0.083,-0.827,-0.940
-14.981,-4.175,1.451,-0.040,-0.818,-0.987
-15.103,-4.451,1.935,0.015,-0.811,-1.057
-15.136,-4.659,2.330,0.052,-0.814,-1.112
-15.100,-4.834,2.770,0.083,-0.823,-1.167
-14.899,-5.009,3.326,0.116,-0.842,-1.231
-14.691,-5.078,3.764,0.132,-0.856,-1.270
-14.432,-5.114,4.183,0.139,-0.864,-1.297
-14.047,-5.167,4.685,0.133,-0.868,-1.315
-13.779,-5.203,5.037,0.116,-0.863,-1.313
